,word,S_Prob,NS_Prob,Ratio,Info_Gain,label
3062,pope,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
3668,gap,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
848,happens,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
357,apart,0.000199,8.3e-05,2.39759,0.9105445469953004,ham
3317,via,0.00209,0.000909,2.29923,0.8313611416386947,ham
1938,today,0.0022890000000000002,0.001074,2.1312849999999997,0.7004287598278708,ham
1611,actually,0.000697,0.000331,2.10574,0.6810063118147485,ham
3976,die,0.0016920000000000001,0.0008269999999999999,2.0459490000000002,0.6360749127739629,ham
3399,sex,0.002687,0.001322,2.032526,0.626091402069022,ham
516,california,0.0004980000000000001,0.000248,2.008065,0.6079974358530129,ham
3869,sexism,0.0004980000000000001,0.000248,2.008065,0.6079974358530129,ham
2370,heathersomervil,0.0004980000000000001,0.000248,2.008065,0.6079974358530129,ham
1617,beat,0.0004980000000000001,0.000248,2.008065,0.6079974358530129,ham
2113,citizen,0.0004980000000000001,0.000248,2.008065,0.6079974358530129,ham
2493,turn,0.0004980000000000001,0.000248,2.008065,0.6079974358530129,ham
2715,baltimore,0.0004980000000000001,0.000248,2.008065,0.6079974358530129,ham
2907,money,0.0004980000000000001,0.000248,2.008065,0.6079974358530129,ham
3092,million,0.0004980000000000001,0.000248,2.008065,0.6079974358530129,ham
288,heather,0.000796,0.000413,1.927361,0.5492267014325402,ham
4022,form,0.0021899999999999997,0.001157,1.892826,0.524522324259872,ham
2591,pay,0.001393,0.0007440000000000001,1.872312,0.5099770113135423,ham
3001,vulnerable,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
2226,muslim,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
2065,alma,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
243,graph,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
482,personal,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
1103,sandra,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
3924,league,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
1458,ginatrapani,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
1279,consider,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
940,journalism,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
3686,group,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
2972,note,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
123,students,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
1735,xeni,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
1978,pomeranian,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
769,lez,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
1705,kids,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
364,bits,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
1700,barr,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
154,starting,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
3731,atl,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
2109,decade,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
1208,income,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
1467,technology,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
3879,correspondence,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
385,tbt,0.000299,0.000165,1.8121209999999999,0.4678664348617392,ham
